date,family,method,method_label,fund,return,growth_1
2021-11-26,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.028742741400398453,1.4148005649828896
2021-11-29,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0095634165308911,1.428330892093961
2021-11-30,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.018876195160066778,1.4013694394216432
2021-12-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.011750985011291126,1.384901968143718
2021-12-02,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.018348690356704722,1.410313105531578
2021-12-03,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.009867545697557323,1.3963967765148813
2021-12-06,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.01787116473478645,1.4213520133431035
2021-12-07,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.011332865091101763,1.4374600039572867
2021-12-08,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005435315248703887,1.4452730522361976
2021-12-09,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.017063854676585333,1.4206111229048541
2021-12-10,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0012832798183904925,1.4187880813210494
2021-12-13,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.016899507623561516,1.394811261324546
2021-12-14,Combined,equal_weight,Equal Weight,Combined Equal Weight,-5.213716201657448e-06,1.3948039891744746
2021-12-15,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.01376761523173764,1.4140071138211214
2021-12-16,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.00037131971126258545,1.413482065107894
2021-12-17,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.014212778090006872,1.393392558182311
2021-12-20,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.00642563427013465,1.3844391272087042
2021-12-21,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.016484368649466896,1.4072607321543587
2021-12-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005888571560852318,1.415547487680427
2021-12-23,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.011706470618426001,1.4321185527539446
2021-12-27,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.011606147445798909,1.448739931837071
2021-12-28,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.00828499488305734,1.43673712891492
2021-12-29,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.003598755620762728,1.431566663096679
2021-12-30,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0011251445638984503,1.4331773825455205
2021-12-31,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0030161729724044184,1.4288546716596253
2022-01-03,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.003123160162046723,1.433317213647507
2022-01-04,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005245285860481896,1.4408353721618377
2022-01-05,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.018096104556931003,1.4147618646178723
2022-01-06,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0005183915734026101,1.4154952652468615
2022-01-07,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.00457814756300956,1.40901491904782
2022-01-10,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.009771789468378422,1.3952463219010804
2022-01-11,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.013846979597975206,1.4145662692545946
2022-01-12,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.010098321714046898,1.4288510145273665
2022-01-13,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.009303019034340498,1.4155583863419816
2022-01-14,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0062386021988576346,1.424389492003626
2022-01-18,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.011275193369427838,1.408329225047904
2022-01-19,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.010568991198801725,1.3934446058633574
2022-01-20,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.01635373595774048,1.3706565807073303
