date,sector,vader_sentiment,vader_sentiment_lag1,headline_count,ticker_news_count,tickers_in_sector,coverage_share,finance_sentiment,finance_sentiment_lag1,sentiment_difference
2023-01-11,Financials,0.06307873015873015,0.09431809523809524,24,4,5,0.8,0.0904520634920635,0.09431809523809524,0.027373333333333347
2023-01-12,Financials,0.10104057142857144,0.06307873015873015,23,5,5,1.0,0.10104057142857144,0.0904520634920635,0.0
2023-01-13,Financials,0.06712692640692641,0.10104057142857144,48,5,5,1.0,0.08131863469863469,0.10104057142857144,0.01419170829170828
2023-01-17,Financials,0.15807083006984537,0.06712692640692641,100,5,5,1.0,0.16359713391739675,0.08131863469863469,0.005526303847551373
2023-01-18,Financials,0.18701063492063494,0.15807083006984537,26,5,5,1.0,0.2023039682539683,0.16359713391739675,0.015293333333333353
2023-01-19,Financials,0.0473235,0.18701063492063494,22,5,5,1.0,0.09286016666666666,0.2023039682539683,0.04553666666666666
2023-01-20,Financials,0.051685333333333326,0.0473235,24,5,5,1.0,0.13322644444444443,0.09286016666666666,0.08154111111111109
2023-01-23,Financials,-0.054972,0.051685333333333326,21,5,5,1.0,-0.022855999999999998,0.13322644444444443,0.032116000000000006
2023-01-24,Financials,0.10409500000000001,-0.054972,10,5,5,1.0,0.10409500000000001,-0.022855999999999998,0.0
2023-01-25,Financials,0.04082533333333334,0.10409500000000001,22,4,5,0.8,0.10307599999999999,0.10409500000000001,0.06225066666666665
2023-01-26,Financials,0.17639711111111112,0.04082533333333334,35,5,5,1.0,0.18237933333333334,0.10307599999999999,0.005982222222222222
2023-01-27,Financials,0.157042,0.17639711111111112,29,4,5,0.8,0.16390699999999997,0.18237933333333334,0.006864999999999982
2023-01-30,Financials,0.15553333333333333,0.157042,20,5,5,1.0,0.2472933333333333,0.16390699999999997,0.09175999999999998
2023-01-31,Financials,0.08080333333333334,0.15553333333333333,12,4,5,0.8,0.08080333333333334,0.2472933333333333,0.0
2023-02-01,Financials,0.0,0.08080333333333334,6,3,5,0.6,0.0,0.08080333333333334,0.0
2023-02-02,Financials,0.13968644444444445,0.0,21,5,5,1.0,0.20711244444444446,0.0,0.06742600000000001
2023-02-03,Financials,0.03333499999999999,0.13968644444444445,15,4,5,0.8,0.03333499999999999,0.20711244444444446,0.0
